report_period_start,report_period_end,interval_start,interval_end,node,namespace,pod,pod_usage_cpu_core_seconds,pod_request_cpu_core_seconds,pod_limit_cpu_core_seconds,pod_usage_memory_byte_seconds,pod_request_memory_byte_seconds,pod_limit_memory_byte_seconds,node_capacity_cpu_cores,node_capacity_cpu_core_seconds,node_capacity_memory_bytes,node_capacity_memory_byte_seconds,resource_id,pod_labels
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-208-111.us-east-2.compute.internal,openshift-kube-controller-manager,revision-pruner-13-ip-10-0-208-111.us-east-2.compute.internal,,12.150000,12.150000,,8100000000.000000,8100000000.000000,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-0a265277069898d4c,label_app:pruner
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-146-115.us-east-2.compute.internal,openshift-multus,multus-ntcjv,0.062414,0.810000,,367411200.000000,12740198400.000000,,8.000000,4320.000000,33237303296.000000,17948143779840.000000,i-0eb3a4cb7807fb144,label_app:multus|label_component:network|label_controller_revision_hash:846cd45bbd|label_openshift_io_component:network|label_pod_template_generation:1|label_type:infra
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-184-152.us-east-2.compute.internal,openshift-kube-controller-manager,revision-pruner-11-ip-10-0-184-152.us-east-2.compute.internal,,12.150000,12.150000,,8100000000.000000,8100000000.000000,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-0d747f55dc1009705,label_app:pruner
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-150-20.us-east-2.compute.internal,openshift-sdn,sdn-5kjl6,1.181565,8.100000,,5447282688.000000,16986931200.000000,,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-07017c9d687179be8,label_app:sdn|label_component:network|label_controller_revision_hash:66cbd78b69|label_openshift_io_component:network|label_pod_template_generation:1|label_type:infra
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-208-111.us-east-2.compute.internal,openshift-insights,insights-operator-76d9f9865-tvd79,0.144015,0.810000,,3188625408.000000,2548039680.000000,,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-0a265277069898d4c,label_app:insights-operator|label_pod_template_hash:76d9f9865
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-150-20.us-east-2.compute.internal,openshift-etcd,revision-pruner-2-ip-10-0-150-20.us-east-2.compute.internal,,12.150000,12.150000,,8100000000.000000,8100000000.000000,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-07017c9d687179be8,label_app:pruner
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-208-111.us-east-2.compute.internal,openshift-image-registry,node-ca-kqgkj,0.016030,0.810000,,309821440.000000,849346560.000000,,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-0a265277069898d4c,label_controller_revision_hash:7dbf69f566|label_name:node-ca|label_pod_template_generation:1
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-189-61.us-east-2.compute.internal,openshift-monitoring,alertmanager-main-2,0.241109,0.486000,,6065197056.000000,18685624320.000000,,8.000000,4320.000000,32884985856.000000,17757892362240.000000,i-0fa84719950bda5f1,label_alertmanager:main|label_app:alertmanager|label_controller_revision_hash:alertmanager-main-74bb986dfc|label_statefulset_kubernetes_io_pod_name:alertmanager-main-2
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-150-20.us-east-2.compute.internal,openshift-etcd,etcd-ip-10-0-150-20.us-east-2.compute.internal,13.688474,37.260000,,977152167936.000000,78139883520.000000,,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-07017c9d687179be8,label_app:etcd|label_etcd:true|label_k8s_app:etcd|label_revision:2
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-208-111.us-east-2.compute.internal,openshift-multus,multus-xk28c,0.068710,0.810000,,355368960.000000,12740198400.000000,,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-0a265277069898d4c,label_app:multus|label_component:network|label_controller_revision_hash:846cd45bbd|label_openshift_io_component:network|label_pod_template_generation:1|label_type:infra
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-184-152.us-east-2.compute.internal,openshift-service-catalog-controller-manager-operator,openshift-service-catalog-controller-manager-operator-6d7fhqnwl,0.181345,0.810000,,3196956672.000000,4246732800.000000,,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-0d747f55dc1009705,label_app:openshift-service-catalog-controller-manager-operator|label_pod_template_hash:6d7f4bbf6d
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-150-20.us-east-2.compute.internal,openshift-kube-controller-manager,revision-pruner-14-ip-10-0-150-20.us-east-2.compute.internal,,12.150000,12.150000,,8100000000.000000,8100000000.000000,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-07017c9d687179be8,label_app:pruner
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-150-20.us-east-2.compute.internal,openshift-kube-controller-manager,installer-14-ip-10-0-150-20.us-east-2.compute.internal,,12.150000,12.150000,,8100000000.000000,8100000000.000000,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-07017c9d687179be8,label_app:installer
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-184-152.us-east-2.compute.internal,openshift-kube-apiserver,installer-3-ip-10-0-184-152.us-east-2.compute.internal,,12.150000,12.150000,,8100000000.000000,8100000000.000000,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-0d747f55dc1009705,label_app:installer
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-146-115.us-east-2.compute.internal,openshift-machine-config-operator,machine-config-daemon-7rrct,0.060589,3.240000,,20025425920.000000,8493465600.000000,,8.000000,4320.000000,33237303296.000000,17948143779840.000000,i-0eb3a4cb7807fb144,label_controller_revision_hash:7fb4bd6f5b|label_k8s_app:machine-config-daemon|label_pod_template_generation:1
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-146-115.us-east-2.compute.internal,openshift-marketplace,redhat-operators-c894d646f-699bh,0.486052,0.810000,,21533163520.000000,8493465600.000000,,8.000000,4320.000000,33237303296.000000,17948143779840.000000,i-0eb3a4cb7807fb144,label_marketplace_operatorSource:redhat-operators|label_pod_template_hash:c894d646f
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-146-115.us-east-2.compute.internal,openshift-monitoring,alertmanager-main-0,0.253418,0.486000,,6397542400.000000,18685624320.000000,,8.000000,4320.000000,33237303296.000000,17948143779840.000000,i-0eb3a4cb7807fb144,label_alertmanager:main|label_app:alertmanager|label_controller_revision_hash:alertmanager-main-74bb986dfc|label_statefulset_kubernetes_io_pod_name:alertmanager-main-0
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-208-111.us-east-2.compute.internal,openshift-cluster-node-tuning-operator,tuned-w67nh,0.013793,0.810000,,4758118400.000000,4246732800.000000,,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-0a265277069898d4c,label_controller_revision_hash:5f8576cddb|label_openshift_app:tuned|label_pod_template_generation:1
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-150-20.us-east-2.compute.internal,openshift-multus,multus-admission-controller-5pqzn,0.078100,1.620000,,4010065920.000000,1698693120.000000,,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-07017c9d687179be8,label_app:multus-admission-controller|label_component:network|label_controller_revision_hash:7b7b7f6987|label_namespace:openshift-multus|label_openshift_io_component:network|label_pod_template_generation:1|label_type:infra
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-184-152.us-east-2.compute.internal,openshift-monitoring,node-exporter-spg4x,0.579424,0.729000,,3020894208.000000,17836277760.000000,,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-0d747f55dc1009705,label_app:node-exporter|label_controller_revision_hash:664bff5786|label_pod_template_generation:1
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-146-115.us-east-2.compute.internal,openshift-metering,hive-metastore-0,0.977150,40.500000,324.000000,82875269120.000000,55207526400.000000,173946175488.000000,8.000000,4320.000000,33237303296.000000,17948143779840.000000,i-0eb3a4cb7807fb144,label_app:hive|label_controller_revision_hash:hive-metastore-5b6cd8cd8|label_hive:metastore|label_statefulset_kubernetes_io_pod_name:hive-metastore-0
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-146-115.us-east-2.compute.internal,openshift-cluster-storage-operator,csi-snapshot-controller-674cc6686f-xjj7r,0.040431,0.250000,,1018036224.000000,1310720000.000000,,8.000000,4320.000000,33237303296.000000,17948143779840.000000,i-0eb3a4cb7807fb144,label_app:csi-snapshot-controller|label_pod_template_hash:674cc6686f
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-146-115.us-east-2.compute.internal,openshift-kube-storage-version-migrator,migrator-6fcf5f5769-9hlt2,0.009001,8.100000,,2835836928.000000,16986931200.000000,,8.000000,4320.000000,33237303296.000000,17948143779840.000000,i-0eb3a4cb7807fb144,label_app:migrator|label_pod_template_hash:6fcf5f5769
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-184-152.us-east-2.compute.internal,openshift-kube-controller-manager-operator,kube-controller-manager-operator-7ccbd8c597-7fc9r,0.806595,0.810000,,6729781248.000000,4246732800.000000,,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-0d747f55dc1009705,label_app:kube-controller-manager-operator|label_pod_template_hash:7ccbd8c597
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-184-152.us-east-2.compute.internal,openshift-service-catalog-apiserver-operator,openshift-service-catalog-apiserver-operator-698987b4b5-f2pv6,0.252382,,,4953047040.000000,4246732800.000000,,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-0d747f55dc1009705,label_app:openshift-service-catalog-apiserver-operator|label_pod_template_hash:698987b4b5
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-146-115.us-east-2.compute.internal,openshift-sdn,sdn-scbjv,1.145645,8.100000,,11969904640.000000,16986931200.000000,,8.000000,4320.000000,33237303296.000000,17948143779840.000000,i-0eb3a4cb7807fb144,label_app:sdn|label_component:network|label_controller_revision_hash:66cbd78b69|label_openshift_io_component:network|label_pod_template_generation:1|label_type:infra
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-208-111.us-east-2.compute.internal,openshift-controller-manager,controller-manager-9785h,0.021072,8.100000,,2915573760.000000,8493465600.000000,,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-0a265277069898d4c,label_app:openshift-controller-manager|label_controller_manager:true|label_controller_revision_hash:7f6999c885|label_pod_template_generation:17
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-146-115.us-east-2.compute.internal,openshift-monitoring,thanos-querier-5565d9c7d7-hwsvc,1.248296,0.648000,,12761538560.000000,6115295232.000000,,8.000000,4320.000000,33237303296.000000,17948143779840.000000,i-0eb3a4cb7807fb144,label_app_kubernetes_io_name:thanos-querier|label_pod_template_hash:5565d9c7d7
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-208-111.us-east-2.compute.internal,openshift-cluster-storage-operator,cluster-storage-operator-5747b6797-2pmsk,0.174774,0.810000,,3333500928.000000,1698693120.000000,,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-0a265277069898d4c,label_name:cluster-storage-operator|label_pod_template_hash:5747b6797
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-184-152.us-east-2.compute.internal,openshift-image-registry,node-ca-bfqg2,0.014749,0.810000,,261660672.000000,849346560.000000,,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-0d747f55dc1009705,label_controller_revision_hash:7dbf69f566|label_name:node-ca|label_pod_template_generation:1
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-150-20.us-east-2.compute.internal,openshift-machine-config-operator,machine-config-daemon-lbxf4,0.055485,3.240000,,6330654720.000000,8493465600.000000,,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-07017c9d687179be8,label_controller_revision_hash:7fb4bd6f5b|label_k8s_app:machine-config-daemon|label_pod_template_generation:1
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-208-111.us-east-2.compute.internal,openshift-kube-controller-manager,revision-pruner-7-ip-10-0-208-111.us-east-2.compute.internal,,12.150000,12.150000,,8100000000.000000,8100000000.000000,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-0a265277069898d4c,label_app:pruner
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-208-111.us-east-2.compute.internal,openshift-kube-apiserver,installer-3-ip-10-0-208-111.us-east-2.compute.internal,,12.150000,12.150000,,8100000000.000000,8100000000.000000,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-0a265277069898d4c,label_app:installer
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-208-111.us-east-2.compute.internal,openshift-kube-controller-manager,revision-pruner-4-ip-10-0-208-111.us-east-2.compute.internal,,12.150000,12.150000,,8100000000.000000,8100000000.000000,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-0a265277069898d4c,label_app:pruner
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-189-61.us-east-2.compute.internal,openshift-sdn,sdn-llf4x,0.978927,8.100000,,9597394944.000000,16986931200.000000,,8.000000,4320.000000,32884985856.000000,17757892362240.000000,i-0fa84719950bda5f1,label_app:sdn|label_component:network|label_controller_revision_hash:66cbd78b69|label_openshift_io_component:network|label_pod_template_generation:1|label_type:infra
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-208-111.us-east-2.compute.internal,openshift-cluster-samples-operator,cluster-samples-operator-5b8bdd55ff-z6rlj,0.096489,1.620000,,4976971776.000000,,,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-0a265277069898d4c,label_name:cluster-samples-operator|label_pod_template_hash:5b8bdd55ff
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-150-20.us-east-2.compute.internal,openshift-multus,multus-8mms6,0.060294,0.810000,,317890560.000000,12740198400.000000,,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-07017c9d687179be8,label_app:multus|label_component:network|label_controller_revision_hash:846cd45bbd|label_openshift_io_component:network|label_pod_template_generation:1|label_type:infra
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-150-20.us-east-2.compute.internal,openshift-kube-controller-manager,installer-11-ip-10-0-150-20.us-east-2.compute.internal,,12.150000,12.150000,,8100000000.000000,8100000000.000000,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-07017c9d687179be8,label_app:installer
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-150-20.us-east-2.compute.internal,openshift-kube-controller-manager,installer-13-ip-10-0-150-20.us-east-2.compute.internal,,12.150000,12.150000,,8100000000.000000,8100000000.000000,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-07017c9d687179be8,label_app:installer
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-184-152.us-east-2.compute.internal,openshift-kube-apiserver,revision-pruner-6-ip-10-0-184-152.us-east-2.compute.internal,,12.150000,12.150000,,8100000000.000000,8100000000.000000,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-0d747f55dc1009705,label_app:pruner
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-150-20.us-east-2.compute.internal,openshift-kube-controller-manager,revision-pruner-15-ip-10-0-150-20.us-east-2.compute.internal,,2.400000,2.400000,,1600000000.000000,1600000000.000000,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-07017c9d687179be8,label_app:pruner
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-208-111.us-east-2.compute.internal,openshift-kube-controller-manager,kube-controller-manager-ip-10-0-208-111.us-east-2.compute.internal,1.199814,8.100000,,22310543360.000000,42467328000.000000,,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-0a265277069898d4c,label_app:kube-controller-manager|label_kube_controller_manager:true|label_revision:15
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-184-152.us-east-2.compute.internal,openshift-controller-manager-operator,openshift-controller-manager-operator-6f6978d49f-kw8rd,0.277183,0.810000,,4608110592.000000,4246732800.000000,,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-0d747f55dc1009705,label_app:openshift-controller-manager-operator|label_pod_template_hash:6f6978d49f
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-208-111.us-east-2.compute.internal,openshift-machine-config-operator,machine-config-server-5xt22,0.468753,1.620000,,1297022976.000000,4246732800.000000,,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-0a265277069898d4c,label_controller_revision_hash:854578fb64|label_k8s_app:machine-config-server|label_pod_template_generation:1
2020-11-01 00:00:00 +0000 UTC,2020-12-01 00:00:00 +0000 UTC,2020-11-06 15:00:00 +0000 UTC,2020-11-06 15:59:59 +0000 UTC,ip-10-0-150-20.us-east-2.compute.internal,openshift-controller-manager,controller-manager-d6xcs,0.020841,8.100000,,2761150464.000000,8493465600.000000,,4.000000,2160.000000,16502939648.000000,8911587409920.000000,i-07017c9d687179be8,label_app:openshift-controller-manager|label_controller_manager:true|label_controller_revision_hash:7f6999c885|label_pod_template_generation:17
